case_id,fold,split
g_001,4,training
g_002,4,training
g_003,3,training
g_004,4,training
g_005,2,training
g_006,3,training
g_007,2,training
g_008,4,training
g_009,1,training
g_010,0,training
g_011,4,training
g_012,4,training
g_013,3,training
g_014,1,training
g_015,0,training
g_016,4,training
g_017,0,training
g_018,2,training
g_019,1,training
g_020,0,training
g_021,0,training
g_022,1,training
g_023,3,training
g_024,3,training
g_025,0,training
g_026,1,training
g_027,2,training
g_028,0,training
g_029,1,training
g_030,2,training
g_031,0,training
g_032,2,training
g_033,0,training
g_034,4,training
g_035,1,training
g_036,2,training
g_037,3,training
g_038,1,training
g_039,4,training
g_040,1,training
g_041,3,training
g_042,3,training
g_043,3,training
g_044,2,training
g_045,1,training
g_046,2,training
g_047,0,training
g_048,4,training
g_049,2,training
g_050,3,training
